"Orwell, George",England your England,London,Penguin,2017,AX35EDDB
"Orwell, George",England your England,London,Penguin,2017,AX35EDDB
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,AXC9EED9
"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018,AX79E80A
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,AX86DD88
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,AX86DD88
"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021,AX0569D1
"Orwell, George",The road to Wigan Pier,London,Arcturus,2021,AX73B3CB
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,AX86DD88
"Orwell, George",The road to Wigan Pier,London,Macmillan,2021,AX53DB6C
"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021,AXBBEABB
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,AXC9EED9
"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020,AXF856C2
"Orwell, George",Fascism and democracy,London,Penguin,2020,AXFA69FC
"Orwell, George",Fascism and democracy,London,Penguin,2020,AXFA69FC
"Orwell, George",Notes on nationalism,London,Penguin,2018,AXCDF015
"Orwell, George",Orwell on freedom,London,Harvill Secker,2018,AXBBC9BD
"Orwell, George",Orwell on freedom,London,Vintage Digital,2018,AX9B9AD9
"Orwell, George",The lion and the unicorn,London,Penguin,2018,AX5B0F20
"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018,AX5D2A22
"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012,AX1E7E8A
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020,AXCE387F
"Orwell, George",Down and out in Paris and London,London,Harper,2021,AX11E9F3
"Orwell, George",Down and out in Paris and London,London,Harper,2021,AX11E9F3
"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021,AX3B8505
"Orwell, George",Down and out in Paris and London,London,Arcturus,2021,AX0DC47E
"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021,AX0B914E
"Orwell, George",Down and out in Paris and London,London,Harper,2021,AX11E9F3
"Orwell, George",Down and out in Paris and London,London,Macmillan,2021,AXACC2B6
"Orwell, George",Politics and the English language,London,Renard Press,2021,AX02CADF
"Orwell, George",Politics and the English language,London,Renard Press,2021,AX02CADF
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021,AXC5263D
"Orwell, George",Nineteen eighty-four,London,Penguin,2020,AX11A9DC
"Orwell, George",Animal farm,London,Penguin,2020,AX5763A7
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,AX785D16
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,AX785D16
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020,AX2E6E15
"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021,AX833F50
"Orwell, George",Nineteen eighty-four,London,Penguin,2021,AX71C2DD
"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009,AX12A0FB
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015,AXCE7627
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016,AX68545D
"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018,AXEEF22B
"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington",,2001,AXE3D31D
"BiegajÅ‚o, BartÅ‚omiej",Totalitarian (in) experience in literary works and their translations : between east and west,Newcastle upon Tyne,Cambridge Scholars,2018,AXDD1600
"Icke, Robert",1984,London,Oberon,2013,AX5600E4
"Holman, Robert","Rafts and dreams : &, Outside whale",London,Bloomsbury,2014,AX5E2849
"Icke, Robert",1984,London,Oberon,2014,AX4AF5FA
"Icke, Robert",1984,London,Oberon,2014,AX4AF5FA
"Orwell, George",Politics vs. literature,London,Renard Press,2021,AX0FBC55
"Orwell, George",Politics vs. literature,London,Renard Press,2021,AX0FBC55
"Smith, David N.",George Orwell illustrated,Chicago,Haymarket,2018,AXA5026E
